#   nzt =   1
#    zt = 0.2200E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.30490100E+01
#    Te =  0.25000000E-01
#   rho =  0.45190000E+01
#  zbar =  0.33154464E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.52512465E+01  0.30276723E-01
 0.11233240E-02  0.55522461E+01  0.32091628E-01
 0.12618569E-02  0.58705064E+01  0.34019754E-01
 0.14174742E-02  0.62045050E+01  0.36068667E-01
 0.15922828E-02  0.65574628E+01  0.38246347E-01
 0.17886495E-02  0.69267311E+01  0.40561563E-01
 0.20092330E-02  0.73166432E+01  0.43023655E-01
 0.22570197E-02  0.77233351E+01  0.45642889E-01
 0.25353645E-02  0.81523076E+01  0.48430236E-01
 0.28480359E-02  0.85985555E+01  0.51397729E-01
 0.31992671E-02  0.90686666E+01  0.54558258E-01
 0.35938137E-02  0.95566782E+01  0.57925918E-01
 0.40370173E-02  0.10070098E+02  0.61515833E-01
 0.45348785E-02  0.10601571E+02  0.65344627E-01
 0.50941380E-02  0.11159826E+02  0.69430168E-01
 0.57223677E-02  0.11735197E+02  0.73792308E-01
 0.64280731E-02  0.12338293E+02  0.78452426E-01
 0.72208090E-02  0.12954924E+02  0.83434794E-01
 0.81113083E-02  0.13599147E+02  0.88765761E-01
 0.91116276E-02  0.14254104E+02  0.94474836E-01
 0.10235310E-01  0.14936179E+02  0.10059414E+00
 0.11497570E-01  0.15626645E+02  0.10715940E+00
 0.12915497E-01  0.16343662E+02  0.11420942E+00
 0.14508288E-01  0.17060252E+02  0.12178900E+00
 0.16297508E-01  0.17800643E+02  0.12994759E+00
 0.18307383E-01  0.18549468E+02  0.13873701E+00
 0.20565123E-01  0.19326640E+02  0.14821287E+00
 0.23101297E-01  0.20128808E+02  0.15843145E+00
 0.25950242E-01  0.20969508E+02  0.16945457E+00
 0.29150531E-01  0.21975843E+02  0.18130570E+00
 0.32745492E-01  0.23096109E+02  0.19398123E+00
 0.36783798E-01  0.24022595E+02  0.20759799E+00
 0.41320124E-01  0.24886560E+02  0.22233961E+00
 0.46415888E-01  0.25759855E+02  0.23833385E+00
 0.52140083E-01  0.26669654E+02  0.25567778E+00
 0.58570208E-01  0.27203644E+02  0.27463510E+00
 0.65793322E-01  0.27550941E+02  0.29558977E+00
 0.73907220E-01  0.27588056E+02  0.31896955E+00
 0.83021757E-01  0.27470399E+02  0.34527781E+00
 0.93260335E-01  0.27199531E+02  0.37504658E+00
 0.10476158E+00  0.26852639E+02  0.40886975E+00
 0.11768120E+00  0.26379226E+02  0.44745306E+00
 0.13219411E+00  0.25830040E+02  0.49165034E+00
 0.14849683E+00  0.25231846E+02  0.54242003E+00
 0.16681005E+00  0.24613962E+02  0.60084021E+00
 0.18738174E+00  0.23935305E+02  0.66821889E+00
 0.21049041E+00  0.23212044E+02  0.74615912E+00
 0.23644894E+00  0.22429176E+02  0.83660819E+00
 0.26560878E+00  0.21611980E+02  0.94190801E+00
 0.29836472E+00  0.20749955E+02  0.10648884E+01
 0.33516027E+00  0.19848225E+02  0.12090712E+01
 0.37649358E+00  0.18969975E+02  0.13784821E+01
 0.42292429E+00  0.18117116E+02  0.15776275E+01
 0.47508102E+00  0.17216703E+02  0.18124101E+01
 0.53366992E+00  0.16254520E+02  0.20909190E+01
 0.59948425E+00  0.15307055E+02  0.24227565E+01
 0.67341507E+00  0.14366342E+02  0.28192876E+01
 0.75646333E+00  0.13451212E+02  0.32944526E+01
 0.84975344E+00  0.12547543E+02  0.38657013E+01
 0.95454846E+00  0.11698360E+02  0.45538461E+01
 0.10722672E+01  0.10893630E+02  0.53834933E+01
 0.12045035E+01  0.10139210E+02  0.63845249E+01
 0.13530478E+01  0.94229269E+01  0.75936793E+01
 0.15199111E+01  0.87584375E+01  0.90551215E+01
 0.17073526E+01  0.81367628E+01  0.10821818E+02
 0.19179103E+01  0.75597232E+01  0.12957822E+02
 0.21544347E+01  0.70145121E+01  0.15542306E+02
 0.24201283E+01  0.65136463E+01  0.18669997E+02
 0.27185882E+01  0.60484429E+01  0.22453479E+02
 0.30538555E+01  0.56155472E+01  0.27030257E+02
 0.34304693E+01  0.52015344E+01  0.32574709E+02
 0.38535286E+01  0.48171109E+01  0.39299209E+02
 0.43287613E+01  0.44534896E+01  0.47463459E+02
 0.48626016E+01  0.41178667E+01  0.57382293E+02
 0.54622772E+01  0.38014747E+01  0.69442184E+02
 0.61359073E+01  0.35061087E+01  0.84121549E+02
 0.68926121E+01  0.32200773E+01  0.10204145E+03
 0.77426368E+01  0.29564084E+01  0.12396329E+03
 0.86974900E+01  0.27080868E+01  0.15081856E+03
 0.97700996E+01  0.24805179E+01  0.18375286E+03
 0.10974988E+02  0.22694302E+01  0.22416805E+03
 0.12328467E+02  0.20759933E+01  0.27379077E+03
 0.13848864E+02  0.18955273E+01  0.33478929E+03
 0.15556761E+02  0.17310228E+01  0.40982883E+03
 0.17475284E+02  0.15796792E+01  0.50216776E+03
 0.19630407E+02  0.14414477E+01  0.61582605E+03
 0.22051307E+02  0.13125650E+01  0.75590609E+03
 0.24770764E+02  0.11954779E+01  0.92869886E+03
 0.27825594E+02  0.10884975E+01  0.11418476E+04
 0.31257158E+02  0.99119505E+00  0.14047916E+04
 0.35111917E+02  0.90193395E+00  0.17292851E+04
 0.39442061E+02  0.82068296E+00  0.21298431E+04
 0.44306215E+02  0.74531206E+00  0.26248675E+04
 0.49770236E+02  0.67688130E+00  0.32371874E+04
 0.55908102E+02  0.61449619E+00  0.39947156E+04
 0.62802914E+02  0.55783396E+00  0.49320162E+04
 0.70548023E+02  0.50569158E+00  0.60927377E+04
 0.79248290E+02  0.45842045E+00  0.75310857E+04
 0.89021509E+02  0.41543609E+00  0.93137337E+04
 0.10000000E+03  0.37647582E+00  0.11523652E+05
