#   nzt =   1
#    zt = 0.8000E+01
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.24129100E+01
#    Te =  0.25000000E-01
#   rho =  0.42300000E+01
#  zbar =  0.24220483E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.28161683E+01  0.18865943E-01
 0.11233240E-02  0.29780585E+01  0.19996750E-01
 0.12618569E-02  0.31492617E+01  0.21197915E-01
 0.14174742E-02  0.33290485E+01  0.22474107E-01
 0.15922828E-02  0.35190818E+01  0.23830257E-01
 0.17886495E-02  0.37181819E+01  0.25271742E-01
 0.20092330E-02  0.39284839E+01  0.26804290E-01
 0.22570197E-02  0.41483755E+01  0.28434142E-01
 0.25353645E-02  0.43804455E+01  0.30167959E-01
 0.28480359E-02  0.46225499E+01  0.32013016E-01
 0.31992671E-02  0.48778070E+01  0.33977093E-01
 0.35938137E-02  0.51435773E+01  0.36068677E-01
 0.40370173E-02  0.54234788E+01  0.38296858E-01
 0.45348785E-02  0.57143067E+01  0.40671565E-01
 0.50941380E-02  0.60202283E+01  0.43203441E-01
 0.57223677E-02  0.63367572E+01  0.45904288E-01
 0.64280731E-02  0.66691325E+01  0.48786786E-01
 0.72208090E-02  0.70107141E+01  0.51865234E-01
 0.81113083E-02  0.73684587E+01  0.55155101E-01
 0.91116276E-02  0.77346804E+01  0.58673536E-01
 0.10235310E-01  0.81173662E+01  0.62439135E-01
 0.11497570E-01  0.85090837E+01  0.66472111E-01
 0.12915497E-01  0.89179338E+01  0.70794257E-01
 0.14508288E-01  0.93339045E+01  0.75430016E-01
 0.16297508E-01  0.97668365E+01  0.80406027E-01
 0.18307383E-01  0.10208058E+02  0.85751106E-01
 0.20565123E-01  0.10667196E+02  0.91496490E-01
 0.23101297E-01  0.11140362E+02  0.97674567E-01
 0.25950242E-01  0.11634712E+02  0.10432042E+00
 0.29150531E-01  0.12172537E+02  0.11146248E+00
 0.32745492E-01  0.12747753E+02  0.11912536E+00
 0.36783798E-01  0.13309342E+02  0.12735706E+00
 0.41320124E-01  0.13878997E+02  0.13622274E+00
 0.46415888E-01  0.14561034E+02  0.14574497E+00
 0.52140083E-01  0.15321848E+02  0.15591445E+00
 0.58570208E-01  0.15842855E+02  0.16686315E+00
 0.65793322E-01  0.16232278E+02  0.17881565E+00
 0.73907220E-01  0.16449433E+02  0.19199612E+00
 0.83021757E-01  0.16578648E+02  0.20664718E+00
 0.93260335E-01  0.16549068E+02  0.22305798E+00
 0.10476158E+00  0.16431498E+02  0.24157555E+00
 0.11768120E+00  0.16172742E+02  0.26262037E+00
 0.13219411E+00  0.15831740E+02  0.28671102E+00
 0.14849683E+00  0.15447506E+02  0.31440574E+00
 0.16681005E+00  0.15045409E+02  0.34631382E+00
 0.18738174E+00  0.14566289E+02  0.38322455E+00
 0.21049041E+00  0.14032300E+02  0.42616270E+00
 0.23644894E+00  0.13454775E+02  0.47635482E+00
 0.26560878E+00  0.12852398E+02  0.53526762E+00
 0.29836472E+00  0.12210937E+02  0.60473461E+00
 0.33516027E+00  0.11535129E+02  0.68712636E+00
 0.37649358E+00  0.10875928E+02  0.78520911E+00
 0.42292429E+00  0.10233621E+02  0.90217933E+00
 0.47508102E+00  0.95975985E+01  0.10420451E+01
 0.53366992E+00  0.89625200E+01  0.12099537E+01
 0.59948425E+00  0.83486982E+01  0.14121968E+01
 0.67341507E+00  0.77520305E+01  0.16565146E+01
 0.75646333E+00  0.71921865E+01  0.19522196E+01
 0.84975344E+00  0.66622698E+01  0.23105547E+01
 0.95454846E+00  0.61690653E+01  0.27451889E+01
 0.10722672E+01  0.57078018E+01  0.32726749E+01
 0.12045035E+01  0.52780394E+01  0.39132540E+01
 0.13530478E+01  0.48731187E+01  0.46920595E+01
 0.15199111E+01  0.44965649E+01  0.56398834E+01
 0.17073526E+01  0.41433586E+01  0.67946162E+01
 0.19179103E+01  0.38161430E+01  0.82026027E+01
 0.21544347E+01  0.35085670E+01  0.99214894E+01
 0.24201283E+01  0.32250481E+01  0.12021871E+02
 0.27185882E+01  0.29612710E+01  0.14590161E+02
 0.30538555E+01  0.27182463E+01  0.17732504E+02
 0.34304693E+01  0.24911962E+01  0.21581243E+02
 0.38535286E+01  0.22823258E+01  0.26299357E+02
 0.43287613E+01  0.20877221E+01  0.32089386E+02
 0.48626016E+01  0.19102088E+01  0.39198963E+02
 0.54622772E+01  0.17473412E+01  0.47928364E+02
 0.61359073E+01  0.15975082E+01  0.58650056E+02
 0.68926121E+01  0.14570687E+01  0.71840564E+02
 0.77426368E+01  0.13286027E+01  0.88088085E+02
 0.86974900E+01  0.12095002E+01  0.10812175E+03
 0.97700996E+01  0.11009427E+01  0.13284350E+03
 0.10974988E+02  0.10011081E+01  0.16336917E+03
 0.12328467E+02  0.91023447E+00  0.20108035E+03
 0.13848864E+02  0.82690576E+00  0.24769306E+03
 0.15556761E+02  0.75118217E+00  0.30533162E+03
 0.17475284E+02  0.68205849E+00  0.37662292E+03
 0.19630407E+02  0.61908114E+00  0.46482850E+03
 0.22051307E+02  0.56062345E+00  0.57413101E+03
 0.24770764E+02  0.50778359E+00  0.70971981E+03
 0.27825594E+02  0.46043449E+00  0.87777607E+03
 0.31257158E+02  0.41746893E+00  0.10859626E+04
 0.35111917E+02  0.37818949E+00  0.13440106E+04
 0.39442061E+02  0.34255116E+00  0.16639884E+04
 0.44306215E+02  0.30966090E+00  0.20612526E+04
 0.49770236E+02  0.27995623E+00  0.25549438E+04
 0.55908102E+02  0.25340024E+00  0.31679624E+04
 0.62802914E+02  0.22934296E+00  0.39286571E+04
 0.70548023E+02  0.20709794E+00  0.48739753E+04
 0.79248290E+02  0.18702006E+00  0.60500821E+04
 0.89021509E+02  0.16913460E+00  0.75119040E+04
 0.10000000E+03  0.15296061E+00  0.93276526E+04
