#   nzt =   1
#    zt = 0.2200E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.28371500E+01
#    Te =  0.25000000E-01
#   rho =  0.42300000E+01
#  zbar =  0.43334871E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.41344405E+01  0.38455151E-01
 0.11233240E-02  0.43724158E+01  0.40760036E-01
 0.12618569E-02  0.46241038E+01  0.43208159E-01
 0.14174742E-02  0.48884865E+01  0.45809001E-01
 0.15922828E-02  0.51679707E+01  0.48572563E-01
 0.17886495E-02  0.54608376E+01  0.51509769E-01
 0.20092330E-02  0.57702259E+01  0.54632250E-01
 0.22570197E-02  0.60937257E+01  0.57952692E-01
 0.25353645E-02  0.64351961E+01  0.61484631E-01
 0.28480359E-02  0.67914529E+01  0.65242844E-01
 0.31992671E-02  0.71671407E+01  0.69243135E-01
 0.35938137E-02  0.75583898E+01  0.73502715E-01
 0.40370173E-02  0.79705652E+01  0.78040011E-01
 0.45348785E-02  0.83989647E+01  0.82875136E-01
 0.50941380E-02  0.88497931E+01  0.88029628E-01
 0.57223677E-02  0.93165924E+01  0.93527310E-01
 0.64280731E-02  0.98071069E+01  0.99393732E-01
 0.72208090E-02  0.10311802E+02  0.10565764E+00
 0.81113083E-02  0.10840972E+02  0.11235003E+00
 0.91116276E-02  0.11383524E+02  0.11950524E+00
 0.10235310E-01  0.11951430E+02  0.12716032E+00
 0.11497570E-01  0.12533598E+02  0.13535557E+00
 0.12915497E-01  0.13142684E+02  0.14413423E+00
 0.14508288E-01  0.13763433E+02  0.15354478E+00
 0.16297508E-01  0.14411881E+02  0.16363976E+00
 0.18307383E-01  0.15076830E+02  0.17447474E+00
 0.20565123E-01  0.15773786E+02  0.18610893E+00
 0.23101297E-01  0.16499666E+02  0.19860198E+00
 0.25950242E-01  0.17267216E+02  0.21201711E+00
 0.29150531E-01  0.18128790E+02  0.22639405E+00
 0.32745492E-01  0.19072544E+02  0.24175550E+00
 0.36783798E-01  0.19984245E+02  0.25818963E+00
 0.41320124E-01  0.20916202E+02  0.27582498E+00
 0.46415888E-01  0.21997121E+02  0.29470895E+00
 0.52140083E-01  0.23197229E+02  0.31483264E+00
 0.58570208E-01  0.24076460E+02  0.33643444E+00
 0.65793322E-01  0.24786369E+02  0.35991420E+00
 0.73907220E-01  0.25233029E+02  0.38568391E+00
 0.83021757E-01  0.25536449E+02  0.41420700E+00
 0.93260335E-01  0.25632471E+02  0.44600232E+00
 0.10476158E+00  0.25609499E+02  0.48166977E+00
 0.11768120E+00  0.25409868E+02  0.52191507E+00
 0.13219411E+00  0.25094234E+02  0.56759460E+00
 0.14849683E+00  0.24703595E+02  0.61964358E+00
 0.16681005E+00  0.24271886E+02  0.67908870E+00
 0.18738174E+00  0.23732785E+02  0.74721699E+00
 0.21049041E+00  0.23114647E+02  0.82564447E+00
 0.23644894E+00  0.22419088E+02  0.91629661E+00
 0.26560878E+00  0.21674762E+02  0.10214563E+01
 0.29836472E+00  0.20859374E+02  0.11439223E+01
 0.33516027E+00  0.19981411E+02  0.12872372E+01
 0.37649358E+00  0.19119666E+02  0.14554145E+01
 0.42292429E+00  0.18277716E+02  0.16528983E+01
 0.47508102E+00  0.17380726E+02  0.18855316E+01
 0.53366992E+00  0.16412764E+02  0.21613759E+01
 0.59948425E+00  0.15456103E+02  0.24900083E+01
 0.67341507E+00  0.14503641E+02  0.28827662E+01
 0.75646333E+00  0.13588002E+02  0.33533196E+01
 0.84975344E+00  0.12693528E+02  0.39184181E+01
 0.95454846E+00  0.11854538E+02  0.45980685E+01
 0.10722672E+01  0.11060103E+02  0.54159889E+01
 0.12045035E+01  0.10313929E+02  0.64009615E+01
 0.13530478E+01  0.96005007E+01  0.75886297E+01
 0.15199111E+01  0.89348732E+01  0.90220485E+01
 0.17073526E+01  0.83074605E+01  0.10753064E+02
