#   nzt = 2
#    zt = 2.2000E+01 8.0000E+00
#    wt = 1.0000E+00 2.0000E+00
#    zp = 1.0000E+00
#    rs =  2.54706333E+00
#    Te =  2.50000000E-02
#   rho =  4.23000000E+00
#  zbar =  3.06847553E+00
#   mep = 100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 1.00000000E-03  3.39409573E+00  2.45195532E-02
 1.12332400E-03  3.58912653E+00  2.60900980E-02
 1.26185690E-03  3.79536867E+00  2.77584631E-02
 1.41747420E-03  4.01193937E+00  2.95310778E-02
 1.59228280E-03  4.24084130E+00  3.14148169E-02
 1.78864950E-03  4.48064463E+00  3.34171393E-02
 2.00923300E-03  4.73392160E+00  3.55460387E-02
 2.25701970E-03  4.99871093E+00  3.78101761E-02
 2.53536450E-03  5.27813483E+00  4.02188535E-02
 2.84803590E-03  5.56958490E+00  4.27821737E-02
 3.19926710E-03  5.87681817E+00  4.55110086E-02
 3.59381370E-03  6.19663897E+00  4.84171546E-02
 4.03701730E-03  6.53338463E+00  5.15133237E-02
 4.53487850E-03  6.88318210E+00  5.48133307E-02
 5.09413800E-03  7.25100343E+00  5.83320963E-02
 5.72236770E-03  7.63140833E+00  6.20860573E-02
 6.42807310E-03  8.03063840E+00  6.60930545E-02
 7.22080900E-03  8.44058893E+00  7.03730440E-02
 8.11130830E-03  8.86956127E+00  7.49478378E-02
 9.11162760E-03  9.30813013E+00  7.98415052E-02
 1.02353100E-02  9.76580213E+00  8.50803678E-02
 1.14975700E-02  1.02334061E+01  9.06930459E-02
 1.29154970E-02  1.07205553E+01  9.67106290E-02
 1.45082880E-02  1.12149054E+01  1.03167818E-01
 1.62975080E-02  1.17282809E+01  1.10102733E-01
 1.83073830E-02  1.22502607E+01  1.17556483E-01
 2.05651230E-02  1.27925220E+01  1.25573606E-01
 2.31012970E-02  1.33506987E+01  1.34200318E-01
 2.59502420E-02  1.39337177E+01  1.43485484E-01
 2.91505310E-02  1.45672887E+01  1.53470534E-01
 3.27454920E-02  1.52450047E+01  1.64193905E-01
 3.67837980E-02  1.59118397E+01  1.75719845E-01
 4.13201240E-02  1.65937247E+01  1.88129367E-01
 4.64158880E-02  1.74275500E+01  2.01448481E-01
 5.21400830E-02  1.83702610E+01  2.15669549E-01
 5.85702080E-02  1.90196177E+01  2.30963547E-01
 6.57933220E-02  1.95119327E+01  2.47633963E-01
 7.39072200E-02  1.97893667E+01  2.65993736E-01
 8.30217570E-02  1.99554790E+01  2.86387831E-01
 9.32603350E-02  1.99342653E+01  3.09215308E-01
 1.04761580E-01  1.98081947E+01  3.34955028E-01
 1.17681200E-01  1.95299630E+01  3.64171003E-01
 1.32194110E-01  1.91603163E+01  3.97542274E-01
 1.48496830E-01  1.87356050E+01  4.35816869E-01
 1.66810050E-01  1.82855707E+01  4.79829293E-01
 1.87381740E-01  1.77557800E+01  5.30619066E-01
 2.10490410E-01  1.71678207E+01  5.89503645E-01
 2.36448940E-01  1.65276503E+01  6.58067369E-01
 2.65608780E-01  1.58568930E+01  7.38211045E-01
 2.98364720E-01  1.51390880E+01  8.32283493E-01
 3.35160270E-01  1.43805760E+01  9.43254972E-01
 3.76493580E-01  1.36417420E+01  1.07457481E+00
 4.22924290E-01  1.29234857E+01  1.23018812E+00
 4.75081020E-01  1.21916180E+01  1.41511070E+00
 5.33669920E-01  1.14373157E+01  1.63593894E+00
 5.99484250E-01  1.07029087E+01  1.90069793E+00
 6.73415070E-01  9.98292513E+00  2.21905017E+00
 7.56463330E-01  9.30022580E+00  2.60268896E+00
 8.49753440E-01  8.64540000E+00  3.06579194E+00
 9.54548460E-01  8.03415220E+00  3.62549797E+00
 1.07226720E+00  7.45940940E+00  4.30239379E+00
 1.20450350E+00  6.92380787E+00  5.12148482E+00
 1.35304780E+00  6.41777450E+00  6.11347347E+00
 1.51991110E+00  5.94738623E+00  7.31579915E+00
 1.70735260E+00  5.50514830E+00  8.77408457E+00
 1.91791030E+00  5.09452393E+00  1.05440391E+01
 2.15443470E+00  4.70626857E+00  1.26944663E+01
 2.42012830E+00  4.34820793E+00  1.53091769E+01
 2.71858820E+00  4.01463790E+00  1.84893388E+01
 3.05385550E+00  3.70539130E+00  2.23592235E+01
 3.43046930E+00  3.41322100E+00  2.70739683E+01
 3.85352860E+00  3.14317997E+00  3.28243617E+01
 4.32876130E+00  2.88954433E+00  3.98450780E+01
 4.86260160E+00  2.65699990E+00  4.84227989E+01
 5.46227720E+00  2.44115617E+00  5.89061813E+01
 6.13590730E+00  2.24133230E+00  7.17282382E+01
 6.89261210E+00  2.05135903E+00  8.74413602E+01
 7.74263680E+00  1.87692320E+00  1.06729819E+02
 8.69749000E+00  1.71390363E+00  1.30435097E+02
 9.77009960E+00  1.56498780E+00  1.59597072E+02
 1.09749880E+01  1.42745717E+00  1.95493067E+02
 1.23284670E+01  1.30194986E+00  2.39702060E+02
 1.38488640E+01  1.18608326E+00  2.94183587E+02
 1.55567610E+01  1.08060153E+00  3.61360120E+02
 1.74752840E+01  9.83789127E-01  4.44218318E+02
 1.96304070E+01  8.95459793E-01  5.46466395E+02
 2.20513070E+01  8.13265427E-01  6.72797859E+02
 2.47707640E+01  7.38765567E-01  8.29033596E+02
 2.78255940E+01  6.71327713E-01  1.02219994E+03
 3.12571580E+01  6.10039120E-01  1.26098857E+03
 3.51119170E+01  5.53869633E-01  1.55630603E+03
 3.94420610E+01  5.02820683E-01  1.92170726E+03
 4.43062150E+01  4.55591377E-01  2.37429816E+03
 4.97702360E+01  4.12825977E-01  2.93538366E+03
 5.59081020E+01  3.74207450E-01  3.63082907E+03
 6.28029140E+01  3.39181143E-01  4.49269484E+03
 7.05480230E+01  3.06857483E-01  5.56186593E+03
 7.92482900E+01  2.77626917E-01  6.88936444E+03
 8.90215090E+01  2.51373163E-01  8.53692741E+03
 1.00000000E+02  2.27604067E-01  1.05809624E+04
