#   nzt =   1
#    zt = 0.8100E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.35866800E+01
#    Te =  0.25000000E-01
#   rho =  0.11850000E+02
#  zbar =  0.23933171E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.78829830E+01  0.86100849E-01
 0.11233240E-02  0.83303535E+01  0.91263502E-01
 0.12618569E-02  0.88031751E+01  0.96751098E-01
 0.14174742E-02  0.92980785E+01  0.10258588E+00
 0.15922828E-02  0.98208041E+01  0.10879131E+00
 0.17886495E-02  0.10366202E+02  0.11539318E+00
 0.20092330E-02  0.10941762E+02  0.12241901E+00
 0.22570197E-02  0.11540547E+02  0.12989904E+00
 0.25353645E-02  0.12171794E+02  0.13786560E+00
 0.28480359E-02  0.12826832E+02  0.14635415E+00
 0.31992671E-02  0.13516605E+02  0.15540268E+00
 0.35938137E-02  0.14230338E+02  0.16505296E+00
 0.40370173E-02  0.14981002E+02  0.17534975E+00
 0.45348785E-02  0.15754029E+02  0.18634297E+00
 0.50941380E-02  0.16565770E+02  0.19808621E+00
 0.57223677E-02  0.17397805E+02  0.21063924E+00
 0.64280731E-02  0.18270083E+02  0.22406625E+00
 0.72208090E-02  0.19156801E+02  0.23844028E+00
 0.81113083E-02  0.20084169E+02  0.25384025E+00
 0.91116276E-02  0.21022217E+02  0.27035444E+00
 0.10235310E-01  0.22001851E+02  0.28807778E+00
 0.11497570E-01  0.22979696E+02  0.30712055E+00
 0.12915497E-01  0.23998189E+02  0.32760275E+00
 0.14508288E-01  0.25020526E+02  0.34965346E+00
 0.16297508E-01  0.26091723E+02  0.37341460E+00
 0.18307383E-01  0.27312179E+02  0.39896287E+00
 0.20565123E-01  0.28657080E+02  0.42633408E+00
 0.23101297E-01  0.29871843E+02  0.45573311E+00
 0.25950242E-01  0.31111987E+02  0.48743950E+00
 0.29150531E-01  0.32475007E+02  0.52160265E+00
 0.32745492E-01  0.33983629E+02  0.55829604E+00
 0.36783798E-01  0.35122511E+02  0.59792809E+00
 0.41320124E-01  0.36169498E+02  0.64109213E+00
 0.46415888E-01  0.37030879E+02  0.68832266E+00
 0.52140083E-01  0.37876978E+02  0.74016835E+00
 0.58570208E-01  0.38559312E+02  0.79724472E+00
 0.65793322E-01  0.39189008E+02  0.86027473E+00
 0.73907220E-01  0.39624479E+02  0.93012410E+00
 0.83021757E-01  0.39977422E+02  0.10078171E+01
 0.93260335E-01  0.40217901E+02  0.10944472E+01
 0.10476158E+00  0.40361268E+02  0.11912838E+01
 0.11768120E+00  0.40264614E+02  0.13000006E+01
 0.13219411E+00  0.39991909E+02  0.14227059E+01
 0.14849683E+00  0.39587594E+02  0.15617315E+01
 0.16681005E+00  0.39079827E+02  0.17197012E+01
 0.18738174E+00  0.38372802E+02  0.18999425E+01
 0.21049041E+00  0.37514254E+02  0.21066105E+01
 0.23644894E+00  0.36515214E+02  0.23446211E+01
