#   nzt =   1
#    zt = 0.9200E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.32215600E+01
#    Te =  0.25000000E-01
#   rho =  0.19040000E+02
#  zbar =  0.96505532E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.62426615E+01  0.12659726E+00
 0.11233240E-02  0.66027070E+01  0.13418468E+00
 0.12618569E-02  0.69835325E+01  0.14224278E+00
 0.14174742E-02  0.73837443E+01  0.15080254E+00
 0.15922828E-02  0.78068578E+01  0.15989672E+00
 0.17886495E-02  0.82506744E+01  0.16956088E+00
 0.20092330E-02  0.87196001E+01  0.17983293E+00
 0.22570197E-02  0.92107172E+01  0.19075392E+00
 0.25353645E-02  0.97292500E+01  0.20236769E+00
 0.28480359E-02  0.10271240E+02  0.21472193E+00
 0.31992671E-02  0.10842986E+02  0.22786762E+00
 0.35938137E-02  0.11439507E+02  0.24186025E+00
 0.40370173E-02  0.12068168E+02  0.25675920E+00
 0.45348785E-02  0.12722958E+02  0.27262907E+00
 0.50941380E-02  0.13412313E+02  0.28953902E+00
 0.57223677E-02  0.14127488E+02  0.30756558E+00
 0.64280731E-02  0.14879230E+02  0.32679085E+00
 0.72208090E-02  0.15654519E+02  0.34730696E+00
 0.81113083E-02  0.16467587E+02  0.36921336E+00
 0.91116276E-02  0.17303491E+02  0.39261977E+00
 0.10235310E-01  0.18178489E+02  0.41764487E+00
 0.11497570E-01  0.19079236E+02  0.44441641E+00
 0.12915497E-01  0.20021642E+02  0.47307160E+00
 0.14508288E-01  0.20988767E+02  0.50376190E+00
 0.16297508E-01  0.21999268E+02  0.53665084E+00
 0.18307383E-01  0.23035445E+02  0.57191694E+00
 0.20565123E-01  0.24118600E+02  0.60975235E+00
 0.23101297E-01  0.25241734E+02  0.65035481E+00
 0.25950242E-01  0.26425274E+02  0.69393022E+00
 0.29150531E-01  0.27681762E+02  0.74067377E+00
 0.32745492E-01  0.29028904E+02  0.79077280E+00
 0.36783798E-01  0.30479808E+02  0.84440585E+00
 0.41320124E-01  0.32055166E+02  0.90176158E+00
 0.46415888E-01  0.34058625E+02  0.96271645E+00
 0.52140083E-01  0.36403699E+02  0.10268958E+01
 0.58570208E-01  0.38326958E+02  0.10948302E+01
 0.65793322E-01  0.40050423E+02  0.11676055E+01
 0.73907220E-01  0.41488554E+02  0.12461959E+01
 0.83021757E-01  0.42790477E+02  0.13315986E+01
 0.93260335E-01  0.43694032E+02  0.14250863E+01
 0.10476158E+00  0.44348489E+02  0.15282444E+01
 0.11768120E+00  0.44586080E+02  0.16429724E+01
 0.13219411E+00  0.44541920E+02  0.17716053E+01
 0.14849683E+00  0.44314100E+02  0.19165692E+01
 0.16681005E+00  0.43952446E+02  0.20804815E+01
 0.18738174E+00  0.43309836E+02  0.22667299E+01
 0.21049041E+00  0.42439080E+02  0.24796711E+01
 0.23644894E+00  0.41378144E+02  0.27244237E+01
 0.26560878E+00  0.40181362E+02  0.30069930E+01
 0.29836472E+00  0.38840200E+02  0.33346316E+01
 0.33516027E+00  0.37378888E+02  0.37163069E+01
 0.37649358E+00  0.35921875E+02  0.41621854E+01
 0.42292429E+00  0.34481080E+02  0.46836374E+01
 0.47508102E+00  0.33001770E+02  0.52947242E+01
 0.53366992E+00  0.31468291E+02  0.60133898E+01
 0.59948425E+00  0.29965953E+02  0.68606570E+01
 0.67341507E+00  0.28487624E+02  0.78609964E+01
 0.75646333E+00  0.27046739E+02  0.90437301E+01
 0.84975344E+00  0.25606652E+02  0.10445295E+02
 0.95454846E+00  0.24251695E+02  0.12108089E+02
 0.10722672E+01  0.22968167E+02  0.14080138E+02
 0.12045035E+01  0.21720581E+02  0.16420494E+02
 0.13530478E+01  0.20454146E+02  0.19206939E+02
 0.15199111E+01  0.19265018E+02  0.22530766E+02
 0.17073526E+01  0.18126366E+02  0.26497026E+02
 0.19179103E+01  0.17046808E+02  0.31232745E+02
 0.21544347E+01  0.15973708E+02  0.36900587E+02
 0.24201283E+01  0.14973894E+02  0.43694001E+02
 0.27185882E+01  0.14017439E+02  0.51841044E+02
 0.30538555E+01  0.13133827E+02  0.61612167E+02
 0.34304693E+01  0.12287003E+02  0.73336546E+02
 0.38535286E+01  0.11502522E+02  0.87408983E+02
 0.43287613E+01  0.10752403E+02  0.10430903E+03
 0.48626016E+01  0.10063240E+02  0.12460420E+03
 0.54622772E+01  0.94070942E+01  0.14897864E+03
 0.61359073E+01  0.87969593E+01  0.17826005E+03
 0.68926121E+01  0.82055189E+01  0.21348249E+03
 0.77426368E+01  0.76572043E+01  0.25588533E+03
 0.86974900E+01  0.71192078E+01  0.30703087E+03
 0.97700996E+01  0.66229754E+01  0.36880152E+03
 0.10974988E+02  0.61410193E+01  0.44352279E+03
 0.12328467E+02  0.56972065E+01  0.53401827E+03
 0.13848864E+02  0.52737360E+01  0.64372652E+03
 0.15556761E+02  0.48847947E+01  0.77680381E+03
 0.17475284E+02  0.45119424E+01  0.93844012E+03
 0.19630407E+02  0.41696439E+01  0.11349478E+04
 0.22051307E+02  0.38426870E+01  0.13741735E+04
 0.24770764E+02  0.35438344E+01  0.16656552E+04
 0.27825594E+02  0.32629777E+01  0.20210038E+04
 0.31257158E+02  0.30054261E+01  0.24544255E+04
 0.35111917E+02  0.27627401E+01  0.29835907E+04
 0.39442061E+02  0.25404593E+01  0.36300272E+04
 0.44306215E+02  0.23276590E+01  0.44212710E+04
 0.49770236E+02  0.21333630E+01  0.53912045E+04
 0.55908102E+02  0.19521461E+01  0.65810375E+04
 0.62802914E+02  0.17870651E+01  0.80413457E+04
 0.70548023E+02  0.16344485E+01  0.98341853E+04
 0.79248290E+02  0.14954718E+01  0.12035540E+05
 0.89021509E+02  0.13659656E+01  0.14740731E+05
 0.10000000E+03  0.12482172E+01  0.18067507E+05
