#   nzt =   1
#    zt = 0.2300E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.28382900E+01
#    Te =  0.25000000E-01
#   rho =  0.59600000E+01
#  zbar =  0.32980207E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.41330870E+01  0.40894073E-01
 0.11233240E-02  0.43745542E+01  0.43344123E-01
 0.12618569E-02  0.46300357E+01  0.45944342E-01
 0.14174742E-02  0.48985331E+01  0.48704612E-01
 0.15922828E-02  0.51826663E+01  0.51635299E-01
 0.17886495E-02  0.54807729E+01  0.54747658E-01
 0.20092330E-02  0.57962678E+01  0.58053594E-01
 0.22570197E-02  0.61267862E+01  0.61566019E-01
 0.25353645E-02  0.64764851E+01  0.65298636E-01
 0.28480359E-02  0.68421664E+01  0.69266356E-01
 0.31992671E-02  0.72287626E+01  0.73485074E-01
 0.35938137E-02  0.76323509E+01  0.77972078E-01
 0.40370173E-02  0.80585553E+01  0.82745846E-01
 0.45348785E-02  0.85026001E+01  0.87826541E-01
 0.50941380E-02  0.89709583E+01  0.93235728E-01
 0.57223677E-02  0.94570268E+01  0.98997284E-01
 0.64280731E-02  0.99689338E+01  0.10513677E+00
 0.72208090E-02  0.10496820E+02  0.11168299E+00
 0.81113083E-02  0.11051584E+02  0.11866697E+00
 0.91116276E-02  0.11621749E+02  0.12612300E+00
 0.10235310E-01  0.12219919E+02  0.13408806E+00
 0.11497570E-01  0.12834510E+02  0.14260230E+00
 0.12915497E-01  0.13478450E+02  0.15170891E+00
 0.14508288E-01  0.14135185E+02  0.16145670E+00
 0.16297508E-01  0.14820350E+02  0.17189917E+00
 0.18307383E-01  0.15520744E+02  0.18309376E+00
 0.20565123E-01  0.16249910E+02  0.19510322E+00
 0.23101297E-01  0.17001494E+02  0.20799301E+00
 0.25950242E-01  0.17784084E+02  0.22183553E+00
 0.29150531E-01  0.18641434E+02  0.23668565E+00
 0.32745492E-01  0.19555273E+02  0.25258894E+00
 0.36783798E-01  0.20419192E+02  0.26965718E+00
 0.41320124E-01  0.21278193E+02  0.28804583E+00
 0.46415888E-01  0.22286660E+02  0.30782008E+00
 0.52140083E-01  0.23399954E+02  0.32897962E+00
 0.58570208E-01  0.24134303E+02  0.35181529E+00
 0.65793322E-01  0.24668811E+02  0.37680529E+00
 0.73907220E-01  0.24921447E+02  0.40443850E+00
 0.83021757E-01  0.25036673E+02  0.43525662E+00
 0.93260335E-01  0.24973979E+02  0.46984567E+00
 0.10476158E+00  0.24825470E+02  0.50886953E+00
 0.11768120E+00  0.24565965E+02  0.55307370E+00
 0.13219411E+00  0.24251336E+02  0.60332052E+00
 0.14849683E+00  0.23901313E+02  0.66054839E+00
 0.16681005E+00  0.23538191E+02  0.72579593E+00
 0.18738174E+00  0.23113996E+02  0.80032605E+00
 0.21049041E+00  0.22639422E+02  0.88569241E+00
