#   nzt =   1
#    zt = 0.7400E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.29404900E+01
#    Te =  0.25000000E-01
#   rho =  0.19350000E+02
#  zbar =  0.47443245E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.46323818E+01  0.13189569E+00
 0.11233240E-02  0.49161665E+01  0.13978706E+00
 0.12618569E-02  0.52164541E+01  0.14814035E+00
 0.14174742E-02  0.55322705E+01  0.15698597E+00
 0.15922828E-02  0.58665758E+01  0.16635570E+00
 0.17886495E-02  0.62178952E+01  0.17628380E+00
 0.20092330E-02  0.65900262E+01  0.18680630E+00
 0.22570197E-02  0.69810307E+01  0.19796181E+00
 0.25353645E-02  0.73954352E+01  0.20979098E+00
 0.28480359E-02  0.78304997E+01  0.22233763E+00
 0.31992671E-02  0.82916004E+01  0.23564809E+00
 0.35938137E-02  0.87751961E+01  0.24977240E+00
 0.40370173E-02  0.92874355E+01  0.26476375E+00
 0.45348785E-02  0.98239887E+01  0.28067972E+00
 0.50941380E-02  0.10391816E+02  0.29758161E+00
 0.57223677E-02  0.10984456E+02  0.31553715E+00
 0.64280731E-02  0.11610786E+02  0.33461859E+00
 0.72208090E-02  0.12261010E+02  0.35490695E+00
 0.81113083E-02  0.12946952E+02  0.37648912E+00
 0.91116276E-02  0.13657407E+02  0.39946036E+00
 0.10235310E-01  0.14405929E+02  0.42392298E+00
 0.11497570E-01  0.15182686E+02  0.44998590E+00
 0.12915497E-01  0.16000905E+02  0.47776526E+00
 0.14508288E-01  0.16847642E+02  0.50738877E+00
 0.16297508E-01  0.17738104E+02  0.53899390E+00
 0.18307383E-01  0.18658522E+02  0.57273027E+00
 0.20565123E-01  0.19625106E+02  0.60875959E+00
 0.23101297E-01  0.20631008E+02  0.64724930E+00
 0.25950242E-01  0.21689215E+02  0.68837777E+00
 0.29150531E-01  0.22802296E+02  0.73232413E+00
 0.32745492E-01  0.23978419E+02  0.77927538E+00
 0.36783798E-01  0.25227318E+02  0.82941816E+00
 0.41320124E-01  0.26553654E+02  0.88296438E+00
 0.46415888E-01  0.28201208E+02  0.93985831E+00
 0.52140083E-01  0.30084232E+02  0.99983435E+00
