#   nzt =   1
#    zt = 0.5400E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.39069300E+02
#    Te =  0.25000000E-01
#   rho =  0.58900000E-02
#  zbar =  0.18316359E-07
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.12112169E+02  0.35996471E-01
 0.11233240E-02  0.13142845E+02  0.38126568E-01
 0.12618569E-02  0.14260552E+02  0.40330964E-01
 0.14174742E-02  0.15409945E+02  0.42618008E-01
 0.15922828E-02  0.16670506E+02  0.44994172E-01
 0.17886495E-02  0.17974627E+02  0.47465553E-01
 0.20092330E-02  0.19375725E+02  0.50040654E-01
 0.22570197E-02  0.20828437E+02  0.52727944E-01
 0.25353645E-02  0.22388255E+02  0.55535936E-01
 0.28480359E-02  0.23953888E+02  0.58477467E-01
 0.31992671E-02  0.25643907E+02  0.61564675E-01
 0.35938137E-02  0.27304378E+02  0.64812960E-01
 0.40370173E-02  0.29066645E+02  0.68240457E-01
 0.45348785E-02  0.30834554E+02  0.71863764E-01
 0.50941380E-02  0.32718158E+02  0.75698897E-01
 0.57223677E-02  0.34385955E+02  0.79778802E-01
 0.64280731E-02  0.36115190E+02  0.84141694E-01
 0.72208090E-02  0.37758536E+02  0.88818777E-01
 0.81113083E-02  0.39424137E+02  0.93846517E-01
 0.91116276E-02  0.40851185E+02  0.99276176E-01
 0.10235310E-01  0.42154397E+02  0.10517560E+00
 0.11497570E-01  0.43328756E+02  0.11161141E+00
 0.12915497E-01  0.44484672E+02  0.11864725E+00
 0.14508288E-01  0.45278820E+02  0.12637956E+00
 0.16297508E-01  0.45991064E+02  0.13492349E+00
 0.18307383E-01  0.46539410E+02  0.14439126E+00
 0.20565123E-01  0.47050360E+02  0.15490460E+00
 0.23101297E-01  0.47267405E+02  0.16662429E+00
 0.25950242E-01  0.47407089E+02  0.17974118E+00
 0.29150531E-01  0.47405733E+02  0.19445578E+00
 0.32745492E-01  0.47384765E+02  0.21098680E+00
 0.36783798E-01  0.47131688E+02  0.22961190E+00
 0.41320124E-01  0.46828162E+02  0.25066088E+00
 0.46415888E-01  0.46473689E+02  0.27447592E+00
 0.52140083E-01  0.46191774E+02  0.30140584E+00
 0.58570208E-01  0.45716137E+02  0.33190660E+00
 0.65793322E-01  0.45197034E+02  0.36654556E+00
 0.73907220E-01  0.44573098E+02  0.40595622E+00
 0.83021757E-01  0.43958925E+02  0.45084335E+00
 0.93260335E-01  0.43225252E+02  0.50204774E+00
 0.10476158E+00  0.42461480E+02  0.56056541E+00
 0.11768120E+00  0.41510295E+02  0.62764542E+00
 0.13219411E+00  0.40464001E+02  0.70485024E+00
 0.14849683E+00  0.39401084E+02  0.79387783E+00
 0.16681005E+00  0.38358053E+02  0.89657496E+00
 0.18738174E+00  0.37183079E+02  0.10153221E+01
 0.21049041E+00  0.35915778E+02  0.11531880E+01
 0.23644894E+00  0.34588824E+02  0.13137744E+01
 0.26560878E+00  0.33237461E+02  0.15013052E+01
 0.29836472E+00  0.31878230E+02  0.17207405E+01
 0.33516027E+00  0.30507673E+02  0.19780571E+01
 0.37649358E+00  0.29180937E+02  0.22801925E+01
 0.42292429E+00  0.27902970E+02  0.26350539E+01
 0.47508102E+00  0.26635547E+02  0.30522600E+01
 0.53366992E+00  0.25358218E+02  0.35439219E+01
 0.59948425E+00  0.24122899E+02  0.41243027E+01
 0.67341507E+00  0.22923951E+02  0.48099947E+01
 0.75646333E+00  0.21756040E+02  0.56209938E+01
 0.84975344E+00  0.20583038E+02  0.65826059E+01
 0.95454846E+00  0.19488265E+02  0.77240410E+01
 0.10722672E+01  0.18460409E+02  0.90777177E+01
 0.12045035E+01  0.17443850E+02  0.10684523E+02
 0.13530478E+01  0.16375909E+02  0.12601510E+02
 0.15199111E+01  0.15369991E+02  0.14895884E+02
 0.17073526E+01  0.14402516E+02  0.17644187E+02
 0.19179103E+01  0.13485848E+02  0.20939648E+02
 0.21544347E+01  0.12582186E+02  0.24900898E+02
 0.24201283E+01  0.11739054E+02  0.29670311E+02
 0.27185882E+01  0.10932109E+02  0.35418647E+02
 0.30538555E+01  0.10186968E+02  0.42350161E+02
 0.34304693E+01  0.94815380E+01  0.50711143E+02
 0.38535286E+01  0.88250532E+01  0.60801288E+02
 0.43287613E+01  0.81987998E+01  0.72991656E+02
 0.48626016E+01  0.76229118E+01  0.87725322E+02
 0.54622772E+01  0.70812106E+01  0.10553448E+03
 0.61359073E+01  0.65784420E+01  0.12706684E+03
 0.68926121E+01  0.60944542E+01  0.15314243E+03
 0.77426368E+01  0.56470970E+01  0.18475411E+03
 0.86974900E+01  0.52163655E+01  0.22314236E+03
 0.97700996E+01  0.48205553E+01  0.26981298E+03
 0.10974988E+02  0.44441038E+01  0.32661754E+03
 0.12328467E+02  0.40980623E+01  0.39581963E+03
 0.13848864E+02  0.37702565E+01  0.48022715E+03
 0.15556761E+02  0.34704099E+01  0.58325674E+03
 0.17475284E+02  0.31885201E+01  0.70911653E+03
 0.19630407E+02  0.29298321E+01  0.86297187E+03
 0.22051307E+02  0.26842945E+01  0.10513626E+04
 0.24770764E+02  0.24604058E+01  0.12822964E+04
 0.27825594E+02  0.22527934E+01  0.15654779E+04
 0.31257158E+02  0.20630629E+01  0.19128364E+04
 0.35111917E+02  0.18854663E+01  0.23393915E+04
 0.39442061E+02  0.17235477E+01  0.28635847E+04
 0.44306215E+02  0.15719393E+01  0.35085426E+04
 0.49770236E+02  0.14338880E+01  0.43028427E+04
 0.55908102E+02  0.13062045E+01  0.52817252E+04
 0.62802914E+02  0.11901496E+01  0.64886641E+04
 0.70548023E+02  0.10834950E+01  0.79773403E+04
 0.79248290E+02  0.98658837E+00  0.98139106E+04
 0.89021509E+02  0.89697363E+00  0.12081516E+05
 0.10000000E+03  0.81565548E+00  0.14883456E+05
