#   nzt =   1
#    zt = 0.7000E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.40513300E+01
#    Te =  0.25000000E-01
#   rho =  0.69600000E+01
#  zbar =  0.21517941E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.10212534E+02  0.56250931E-01
 0.11233240E-02  0.10775502E+02  0.59626434E-01
 0.12618569E-02  0.11369701E+02  0.63219826E-01
 0.14174742E-02  0.11987879E+02  0.67046851E-01
 0.15922828E-02  0.12639801E+02  0.71124090E-01
 0.17886495E-02  0.13316095E+02  0.75469780E-01
 0.20092330E-02  0.14028619E+02  0.80103420E-01
 0.22570197E-02  0.14766130E+02  0.85046386E-01
 0.25353645E-02  0.15542407E+02  0.90321551E-01
 0.28480359E-02  0.16343411E+02  0.95954149E-01
 0.31992671E-02  0.17185672E+02  0.10197120E+00
 0.35938137E-02  0.18051159E+02  0.10840273E+00
 0.40370173E-02  0.18960263E+02  0.11528085E+00
 0.45348785E-02  0.19886928E+02  0.12264212E+00
 0.50941380E-02  0.20858757E+02  0.13052572E+00
 0.57223677E-02  0.21841113E+02  0.13897631E+00
 0.64280731E-02  0.22869768E+02  0.14804179E+00
 0.72208090E-02  0.23896393E+02  0.15777778E+00
 0.81113083E-02  0.24969072E+02  0.16824456E+00
 0.91116276E-02  0.26043074E+02  0.17950755E+00
 0.10235310E-01  0.27167940E+02  0.19163684E+00
 0.11497570E-01  0.28307819E+02  0.20470603E+00
 0.12915497E-01  0.29510018E+02  0.21879032E+00
 0.14508288E-01  0.30645149E+02  0.23399678E+00
 0.16297508E-01  0.31818934E+02  0.25045637E+00
 0.18307383E-01  0.33334146E+02  0.26818531E+00
 0.20565123E-01  0.35061335E+02  0.28713324E+00
 0.23101297E-01  0.36179933E+02  0.30756136E+00
 0.25950242E-01  0.37129022E+02  0.32986429E+00
 0.29150531E-01  0.37594578E+02  0.35444935E+00
 0.32745492E-01  0.37937145E+02  0.38177634E+00
 0.36783798E-01  0.38012862E+02  0.41231123E+00
 0.41320124E-01  0.38051829E+02  0.44656857E+00
 0.46415888E-01  0.38072027E+02  0.48502519E+00
 0.52140083E-01  0.38145887E+02  0.52816785E+00
 0.58570208E-01  0.38173488E+02  0.57656602E+00
 0.65793322E-01  0.38207801E+02  0.63088862E+00
 0.73907220E-01  0.38210277E+02  0.69188113E+00
 0.83021757E-01  0.38202061E+02  0.76039723E+00
 0.93260335E-01  0.38128146E+02  0.83744546E+00
 0.10476158E+00  0.38010724E+02  0.92420285E+00
 0.11768120E+00  0.37736693E+02  0.10221631E+01
 0.13219411E+00  0.37352693E+02  0.11331786E+01
 0.14849683E+00  0.36871406E+02  0.12593479E+01
 0.16681005E+00  0.36315835E+02  0.14030737E+01
 0.18738174E+00  0.35601278E+02  0.15673784E+01
 0.21049041E+00  0.34757288E+02  0.17560529E+01
 0.23644894E+00  0.33800607E+02  0.19735887E+01
 0.26560878E+00  0.32769788E+02  0.22252584E+01
 0.29836472E+00  0.31646399E+02  0.25174367E+01
 0.33516027E+00  0.30447006E+02  0.28580033E+01
 0.37649358E+00  0.29262668E+02  0.32558943E+01
 0.42292429E+00  0.28103812E+02  0.37210518E+01
 0.47508102E+00  0.26891987E+02  0.42660659E+01
 0.53366992E+00  0.25614667E+02  0.49074891E+01
 0.59948425E+00  0.24370697E+02  0.56644565E+01
 0.67341507E+00  0.23155594E+02  0.65587947E+01
 0.75646333E+00  0.21969748E+02  0.76168290E+01
 0.84975344E+00  0.20782796E+02  0.88716141E+01
 0.95454846E+00  0.19679253E+02  0.10361055E+02
 0.10722672E+01  0.18645625E+02  0.12127283E+02
 0.12045035E+01  0.17649731E+02  0.14221924E+02
 0.13530478E+01  0.16647485E+02  0.16712688E+02
 0.15199111E+01  0.15725639E+02  0.19677151E+02
 0.17073526E+01  0.14865796E+02  0.23200785E+02
 0.19179103E+01  0.14047957E+02  0.27387660E+02
 0.21544347E+01  0.13219510E+02  0.32376291E+02
 0.24201283E+01  0.12455066E+02  0.38328099E+02
 0.27185882E+01  0.11729813E+02  0.45425472E+02
 0.30538555E+01  0.11042899E+02  0.53890171E+02
 0.34304693E+01  0.10337340E+02  0.64021298E+02
 0.38535286E+01  0.96781989E+01  0.76177787E+02
 0.43287613E+01  0.90325782E+01  0.90788592E+02
 0.48626016E+01  0.84343040E+01  0.10836862E+03
 0.54622772E+01  0.78536329E+01  0.12954898E+03
 0.61359073E+01  0.73122624E+01  0.15509818E+03
 0.68926121E+01  0.67800952E+01  0.18599311E+03
 0.77426368E+01  0.62906261E+01  0.22341001E+03
 0.86974900E+01  0.58247232E+01  0.26876301E+03
 0.97700996E+01  0.53992624E+01  0.32375405E+03
 0.10974988E+02  0.50033992E+01  0.39040454E+03
 0.12328467E+02  0.46386979E+01  0.47116678E+03
 0.13848864E+02  0.42889667E+01  0.56916625E+03
 0.15556761E+02  0.39677732E+01  0.68818558E+03
 0.17475284E+02  0.36611130E+01  0.83290750E+03
 0.19630407E+02  0.33786660E+01  0.10090663E+04
 0.22051307E+02  0.31092651E+01  0.12238198E+04
 0.24770764E+02  0.28619652E+01  0.14859089E+04
 0.27825594E+02  0.26267267E+01  0.18062642E+04
 0.31257158E+02  0.24115163E+01  0.21982865E+04
 0.35111917E+02  0.22097186E+01  0.26784576E+04
 0.39442061E+02  0.20256501E+01  0.32669464E+04
 0.44306215E+02  0.18536217E+01  0.39887803E+04
 0.49770236E+02  0.16968263E+01  0.48746894E+04
 0.55908102E+02  0.15511780E+01  0.59626258E+04
 0.62802914E+02  0.14185619E+01  0.72992013E+04
 0.70548023E+02  0.12961917E+01  0.89417168E+04
 0.79248290E+02  0.11845710E+01  0.10960593E+05
 0.89021509E+02  0.10800778E+01  0.13445249E+05
 0.10000000E+03  0.98494978E+00  0.16506738E+05
