#   nzt =   1
#    zt = 0.3000E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.29044000E+01
#    Te =  0.25000000E-01
#   rho =  0.71400000E+01
#  zbar =  0.23500059E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.47290923E+01  0.45914587E-01
 0.11233240E-02  0.50002129E+01  0.48666873E-01
 0.12618569E-02  0.52868845E+01  0.51590827E-01
 0.14174742E-02  0.55877180E+01  0.54697923E-01
 0.15922828E-02  0.59056311E+01  0.58000267E-01
 0.17886495E-02  0.62381455E+01  0.61511175E-01
 0.20092330E-02  0.65892447E+01  0.65244840E-01
 0.22570197E-02  0.69552264E+01  0.69216902E-01
 0.25353645E-02  0.73412325E+01  0.73444078E-01
 0.28480359E-02  0.77425113E+01  0.77944715E-01
 0.31992671E-02  0.81652025E+01  0.82738479E-01
 0.35938137E-02  0.86036611E+01  0.87846882E-01
 0.40370173E-02  0.90648785E+01  0.93293017E-01
 0.45348785E-02  0.95418172E+01  0.99102321E-01
 0.50941380E-02  0.10042673E+02  0.10530216E+00
 0.57223677E-02  0.10558439E+02  0.11192289E+00
 0.64280731E-02  0.11098936E+02  0.11899723E+00
 0.72208090E-02  0.11651082E+02  0.12656233E+00
 0.81113083E-02  0.12227802E+02  0.13465848E+00
 0.91116276E-02  0.12813421E+02  0.14333094E+00
 0.10235310E-01  0.13423080E+02  0.15262892E+00
 0.11497570E-01  0.14038473E+02  0.16260763E+00
 0.12915497E-01  0.14676843E+02  0.17332715E+00
 0.14508288E-01  0.15311143E+02  0.18485758E+00
 0.16297508E-01  0.15964520E+02  0.19727696E+00
 0.18307383E-01  0.16622790E+02  0.21066659E+00
 0.20565123E-01  0.17303143E+02  0.22511445E+00
 0.23101297E-01  0.18002605E+02  0.24071007E+00
 0.25950242E-01  0.18732005E+02  0.25755385E+00
 0.29150531E-01  0.19640139E+02  0.27566968E+00
 0.32745492E-01  0.20664354E+02  0.29502565E+00
 0.36783798E-01  0.21436581E+02  0.31583397E+00
 0.41320124E-01  0.22115270E+02  0.33843696E+00
 0.46415888E-01  0.22693128E+02  0.36312028E+00
 0.52140083E-01  0.23253647E+02  0.39015186E+00
 0.58570208E-01  0.23562198E+02  0.41995273E+00
 0.65793322E-01  0.23753728E+02  0.45307656E+00
 0.73907220E-01  0.23727838E+02  0.49016265E+00
 0.83021757E-01  0.23608595E+02  0.53195986E+00
 0.93260335E-01  0.23401280E+02  0.57924474E+00
 0.10476158E+00  0.23152272E+02  0.63287824E+00
 0.11768120E+00  0.22793786E+02  0.69392696E+00
 0.13219411E+00  0.22378210E+02  0.76369215E+00
 0.14849683E+00  0.21936923E+02  0.84358516E+00
 0.16681005E+00  0.21489474E+02  0.93516225E+00
 0.18738174E+00  0.20996667E+02  0.10403095E+01
 0.21049041E+00  0.20469967E+02  0.11613290E+01
 0.23644894E+00  0.19896103E+02  0.13009897E+01
 0.26560878E+00  0.19296123E+02  0.14625845E+01
 0.29836472E+00  0.18674400E+02  0.16499568E+01
 0.33516027E+00  0.18034490E+02  0.18677009E+01
 0.37649358E+00  0.17411348E+02  0.21210329E+01
 0.42292429E+00  0.16807479E+02  0.24157759E+01
 0.47508102E+00  0.16182880E+02  0.27591732E+01
 0.53366992E+00  0.15528790E+02  0.31605527E+01
 0.59948425E+00  0.14892199E+02  0.36306035E+01
 0.67341507E+00  0.14268634E+02  0.41814100E+01
 0.75646333E+00  0.13641411E+02  0.48278088E+01
 0.84975344E+00  0.12986586E+02  0.55891164E+01
 0.95454846E+00  0.12372475E+02  0.64872087E+01
 0.10722672E+01  0.11790301E+02  0.75457835E+01
 0.12045035E+01  0.11199087E+02  0.87952739E+01
 0.13530478E+01  0.10557657E+02  0.10279062E+02
 0.15199111E+01  0.99500231E+01  0.12047646E+02
 0.17073526E+01  0.93612878E+01  0.14157376E+02
 0.19179103E+01  0.87883479E+01  0.16678495E+02
 0.21544347E+01  0.81964766E+01  0.19705888E+02
 0.24201283E+01  0.76375592E+01  0.23354045E+02
 0.27185882E+01  0.70924485E+01  0.27760310E+02
 0.30538555E+01  0.65878785E+01  0.33089807E+02
 0.34304693E+01  0.61099944E+01  0.39540230E+02
 0.38535286E+01  0.56660018E+01  0.47352776E+02
 0.43287613E+01  0.52416796E+01  0.56829242E+02
 0.48626016E+01  0.48531554E+01  0.68331648E+02
 0.54622772E+01  0.44921326E+01  0.82288748E+02
 0.61359073E+01  0.41577289E+01  0.99225293E+02
 0.68926121E+01  0.38380028E+01  0.11981026E+03
 0.77426368E+01  0.35427548E+01  0.14485890E+03
 0.86974900E+01  0.32614595E+01  0.17538631E+03
 0.97700996E+01  0.30032486E+01  0.21263167E+03
 0.10974988E+02  0.27621429E+01  0.25809619E+03
 0.12328467E+02  0.25397994E+01  0.31362611E+03
 0.13848864E+02  0.23289512E+01  0.38156676E+03
