#   nzt =   1
#    zt = 0.8000E+01
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.24805200E+01
#    Te =  0.25000000E-01
#   rho =  0.56000000E+01
#  zbar =  0.15459542E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.30502892E+01  0.17417912E-01
 0.11233240E-02  0.32253764E+01  0.18461969E-01
 0.12618569E-02  0.34105175E+01  0.19571075E-01
 0.14174742E-02  0.36048527E+01  0.20749567E-01
 0.15922828E-02  0.38102358E+01  0.22002022E-01
 0.17886495E-02  0.40251709E+01  0.23333460E-01
 0.20092330E-02  0.42521434E+01  0.24749235E-01
 0.22570197E-02  0.44889833E+01  0.26255220E-01
 0.25353645E-02  0.47388289E+01  0.27857692E-01
 0.28480359E-02  0.49988627E+01  0.29563528E-01
 0.31992671E-02  0.52728425E+01  0.31380098E-01
 0.35938137E-02  0.55573744E+01  0.33315459E-01
 0.40370173E-02  0.58567668E+01  0.35378256E-01
 0.45348785E-02  0.61668130E+01  0.37577990E-01
 0.50941380E-02  0.64925345E+01  0.39924875E-01
 0.57223677E-02  0.68284013E+01  0.42430248E-01
 0.64280731E-02  0.71805126E+01  0.45106324E-01
 0.72208090E-02  0.75408257E+01  0.47966939E-01
 0.81113083E-02  0.79173551E+01  0.51027111E-01
 0.91116276E-02  0.83005753E+01  0.54303634E-01
 0.10235310E-01  0.86997829E+01  0.57814785E-01
 0.11497570E-01  0.91044690E+01  0.61580862E-01
 0.12915497E-01  0.95248458E+01  0.65623902E-01
 0.14508288E-01  0.99459183E+01  0.69969274E-01
 0.16297508E-01  0.10381099E+02  0.74644972E-01
 0.18307383E-01  0.10821308E+02  0.79680502E-01
 0.20565123E-01  0.11277630E+02  0.85107700E-01
 0.23101297E-01  0.11747459E+02  0.90959071E-01
 0.25950242E-01  0.12238163E+02  0.97270545E-01
 0.29150531E-01  0.12819042E+02  0.10405778E+00
 0.32745492E-01  0.13461130E+02  0.11132229E+00
 0.36783798E-01  0.13992390E+02  0.11913200E+00
 0.41320124E-01  0.14484875E+02  0.12759218E+00
 0.46415888E-01  0.14966633E+02  0.13678273E+00
 0.52140083E-01  0.15459075E+02  0.14677074E+00
 0.58570208E-01  0.15763768E+02  0.15770258E+00
 0.65793322E-01  0.15972768E+02  0.16978529E+00
 0.73907220E-01  0.16036155E+02  0.18324530E+00
 0.83021757E-01  0.16030749E+02  0.19833953E+00
 0.93260335E-01  0.15923000E+02  0.21535767E+00
 0.10476158E+00  0.15760654E+02  0.23463650E+00
 0.11768120E+00  0.15484985E+02  0.25659898E+00
 0.13219411E+00  0.15145044E+02  0.28177260E+00
 0.14849683E+00  0.14773775E+02  0.31072794E+00
 0.16681005E+00  0.14391180E+02  0.34409004E+00
 0.18738174E+00  0.13941199E+02  0.38266852E+00
 0.21049041E+00  0.13444542E+02  0.42750875E+00
 0.23644894E+00  0.12909277E+02  0.47985898E+00
 0.26560878E+00  0.12352648E+02  0.54120879E+00
 0.29836472E+00  0.11761174E+02  0.61340968E+00
 0.33516027E+00  0.11138507E+02  0.69884135E+00
 0.37649358E+00  0.10527812E+02  0.80028794E+00
 0.42292429E+00  0.99300893E+01  0.92097173E+00
 0.47508102E+00  0.93303129E+01  0.10649656E+01
 0.53366992E+00  0.87220829E+01  0.12375822E+01
 0.59948425E+00  0.81296709E+01  0.14453258E+01
 0.67341507E+00  0.75488885E+01  0.16962151E+01
 0.75646333E+00  0.70027964E+01  0.19998958E+01
 0.84975344E+00  0.64856663E+01  0.23679574E+01
 0.95454846E+00  0.60049577E+01  0.28144518E+01
 0.10722672E+01  0.55558745E+01  0.33563577E+01
 0.12045035E+01  0.51371965E+01  0.40144728E+01
 0.13530478E+01  0.47423356E+01  0.48147084E+01
 0.15199111E+01  0.43767123E+01  0.57886071E+01
 0.17073526E+01  0.40351773E+01  0.69746382E+01
 0.19179103E+01  0.37189084E+01  0.84199129E+01
 0.21544347E+01  0.34221808E+01  0.10182974E+02
 0.24201283E+01  0.31490724E+01  0.12335212E+02
 0.27185882E+01  0.28954822E+01  0.14963617E+02
 0.30538555E+01  0.26613633E+01  0.18175157E+02
 0.34304693E+01  0.24421553E+01  0.22103592E+02
 0.38535286E+01  0.22403429E+01  0.26913228E+02
 0.43287613E+01  0.20523097E+01  0.32807314E+02
 0.48626016E+01  0.18803862E+01  0.40034395E+02
 0.54622772E+01  0.17223080E+01  0.48896151E+02
 0.61359073E+01  0.15763698E+01  0.59767128E+02
 0.68926121E+01  0.14387919E+01  0.73129492E+02
 0.77426368E+01  0.13127891E+01  0.89577868E+02
 0.86974900E+01  0.11958891E+01  0.10984596E+03
 0.97700996E+01  0.10892513E+01  0.13484100E+03
 0.10974988E+02  0.99126056E+00  0.16568156E+03
 0.12328467E+02  0.90185252E+00  0.20375351E+03
 0.13848864E+02  0.81935793E+00  0.25079671E+03
 0.15556761E+02  0.74439285E+00  0.30896404E+03
 0.17475284E+02  0.67605899E+00  0.38089683E+03
 0.19630407E+02  0.61378886E+00  0.46987417E+03
 0.22051307E+02  0.55602196E+00  0.58009949E+03
 0.24770764E+02  0.50376161E+00  0.71678677E+03
 0.27825594E+02  0.45674979E+00  0.88619029E+03
 0.31257158E+02  0.41410146E+00  0.10960652E+04
 0.35111917E+02  0.37517027E+00  0.13562017E+04
 0.39442061E+02  0.33985090E+00  0.16787413E+04
 0.44306215E+02  0.30730688E+00  0.20791052E+04
 0.49770236E+02  0.27790320E+00  0.25765022E+04
 0.55908102E+02  0.25155631E+00  0.31940276E+04
 0.62802914E+02  0.22768938E+00  0.39602817E+04
 0.70548023E+02  0.20566391E+00  0.49123292E+04
 0.79248290E+02  0.18577679E+00  0.60964350E+04
 0.89021509E+02  0.16798165E+00  0.75681497E+04
 0.10000000E+03  0.15189250E+00  0.93965399E+04
