#   nzt =   1
#    zt = 0.3000E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.29188400E+01
#    Te =  0.25000000E-01
#   rho =  0.56000000E+01
#  zbar =  0.46498329E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.46325646E+01  0.46871298E-01
 0.11233240E-02  0.48984654E+01  0.49680839E-01
 0.12618569E-02  0.51796424E+01  0.52665432E-01
 0.14174742E-02  0.54748437E+01  0.55836725E-01
 0.15922828E-02  0.57868458E+01  0.59207012E-01
 0.17886495E-02  0.61135889E+01  0.62789726E-01
 0.20092330E-02  0.64586831E+01  0.66599180E-01
 0.22570197E-02  0.68192266E+01  0.70651011E-01
 0.25353645E-02  0.71996847E+01  0.74961913E-01
 0.28480359E-02  0.75962499E+01  0.79550136E-01
 0.31992671E-02  0.80142881E+01  0.84435206E-01
 0.35938137E-02  0.84491998E+01  0.89638415E-01
 0.40370173E-02  0.89071619E+01  0.95182576E-01
 0.45348785E-02  0.93825814E+01  0.10109263E+00
 0.50941380E-02  0.98825995E+01  0.10739531E+00
 0.57223677E-02  0.10399561E+02  0.11412026E+00
 0.64280731E-02  0.10942371E+02  0.12129928E+00
 0.72208090E-02  0.11499645E+02  0.12896833E+00
 0.81113083E-02  0.12083305E+02  0.13716626E+00
 0.91116276E-02  0.12680036E+02  0.14593622E+00
 0.10235310E-01  0.13303697E+02  0.15532496E+00
 0.11497570E-01  0.13940718E+02  0.16538356E+00
 0.12915497E-01  0.14605759E+02  0.17616702E+00
 0.14508288E-01  0.15279808E+02  0.18773758E+00
 0.16297508E-01  0.15981429E+02  0.20016318E+00
 0.18307383E-01  0.16696947E+02  0.21351597E+00
 0.20565123E-01  0.17443303E+02  0.22787355E+00
 0.23101297E-01  0.18216109E+02  0.24331491E+00
 0.25950242E-01  0.19028028E+02  0.25992547E+00
 0.29150531E-01  0.19946749E+02  0.27775722E+00
 0.32745492E-01  0.20951656E+02  0.29683853E+00
 0.36783798E-01  0.21888253E+02  0.31729862E+00
 0.41320124E-01  0.22824198E+02  0.33932862E+00
 0.46415888E-01  0.23906439E+02  0.36301068E+00
 0.52140083E-01  0.25103306E+02  0.38835099E+00
 0.58570208E-01  0.25898722E+02  0.41569298E+00
 0.65793322E-01  0.26480663E+02  0.44560373E+00
 0.73907220E-01  0.26735398E+02  0.47868242E+00
 0.83021757E-01  0.26820491E+02  0.51561152E+00
 0.93260335E-01  0.26687394E+02  0.55714031E+00
 0.10476158E+00  0.26434560E+02  0.60413370E+00
 0.11768120E+00  0.26018455E+02  0.65760355E+00
 0.13219411E+00  0.25507915E+02  0.71876066E+00
