#   nzt = 2
#    zt = 3.0000E+01 8.0000E+00
#    wt = 1.0000E+00 1.0000E+00
#    zp = 1.0000E+00
#    rs =  2.66972500E+00
#    Te =  2.50000000E-02
#   rho =  5.60000000E+00
#  zbar =  3.28865610E+00
#   mep = 100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 1.00000000E-03  3.85217290E+00  3.29904225E-02
 1.12332400E-03  4.07329380E+00  3.51053982E-02
 1.26185690E-03  4.30711685E+00  3.73522305E-02
 1.41747420E-03  4.55259705E+00  3.97396020E-02
 1.59228280E-03  4.81204460E+00  4.22767975E-02
 1.78864950E-03  5.08374550E+00  4.49739034E-02
 2.00923300E-03  5.37069885E+00  4.78417315E-02
 2.25701970E-03  5.67050510E+00  5.08920178E-02
 2.53536450E-03  5.98685945E+00  5.41373717E-02
 2.84803590E-03  6.31660550E+00  5.75914942E-02
 3.19926710E-03  6.66418495E+00  6.12691325E-02
 3.59381370E-03  7.02576920E+00  6.51862885E-02
 4.03701730E-03  7.40647625E+00  6.93602053E-02
 4.53487850E-03  7.80164580E+00  7.38096353E-02
 5.09413800E-03  8.21718705E+00  7.85548295E-02
 5.72236770E-03  8.64669940E+00  8.36180762E-02
 6.42807310E-03  9.09755100E+00  8.90235485E-02
 7.22080900E-03  9.56023855E+00  9.47982852E-02
 8.11130830E-03  1.00445906E+01  1.00971809E-01
 9.11162760E-03  1.05395072E+01  1.07576692E-01
 1.02353100E-02  1.10563575E+01  1.14648502E-01
 1.14975700E-02  1.15838847E+01  1.22225998E-01
 1.29154970E-02  1.21339634E+01  1.30351253E-01
 1.45082880E-02  1.26909219E+01  1.39071462E-01
 1.62975080E-02  1.32696282E+01  1.48438555E-01
 1.83073830E-02  1.38582455E+01  1.58508004E-01
 2.05651230E-02  1.44702800E+01  1.69339814E-01
 2.31012970E-02  1.51011245E+01  1.80996000E-01
 2.59502420E-02  1.57603205E+01  1.93542123E-01
 2.91505310E-02  1.64974420E+01  2.07025522E-01
 3.27454920E-02  1.72950085E+01  2.21484577E-01
 3.67837980E-02  1.80363055E+01  2.37019200E-01
 4.13201240E-02  1.87709450E+01  2.53768941E-01
 4.64158880E-02  1.96250345E+01  2.71805776E-01
 5.21400830E-02  2.05689480E+01  2.91162721E-01
 5.85702080E-02  2.11795925E+01  3.12096886E-01
 6.57933220E-02  2.16123685E+01  3.35038860E-01
