#   nzt =   1
#    zt = 0.4000E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.33501700E+01
#    Te =  0.25000000E-01
#   rho =  0.64900000E+01
#  zbar =  0.35497602E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.63683027E+01  0.47564562E-01
 0.11233240E-02  0.67334889E+01  0.50415735E-01
 0.12618569E-02  0.71196428E+01  0.53444700E-01
 0.14174742E-02  0.75248752E+01  0.56663336E-01
 0.15922828E-02  0.79531489E+01  0.60084171E-01
 0.17886495E-02  0.84010394E+01  0.63721001E-01
 0.20092330E-02  0.88740144E+01  0.67588524E-01
 0.22570197E-02  0.93669385E+01  0.71702949E-01
 0.25353645E-02  0.98869115E+01  0.76081596E-01
 0.28480359E-02  0.10427354E+02  0.80743474E-01
 0.31992671E-02  0.10996769E+02  0.85708943E-01
 0.35938137E-02  0.11587385E+02  0.91000263E-01
 0.40370173E-02  0.12208906E+02  0.96641300E-01
 0.45348785E-02  0.12851655E+02  0.10265833E+00
 0.50941380E-02  0.13527081E+02  0.10907956E+00
 0.57223677E-02  0.14222966E+02  0.11593623E+00
 0.64280731E-02  0.14953065E+02  0.12326189E+00
 0.72208090E-02  0.15699837E+02  0.13109450E+00
 0.81113083E-02  0.16481576E+02  0.13947502E+00
 0.91116276E-02  0.17277719E+02  0.14844910E+00
 0.10235310E-01  0.18110622E+02  0.15806574E+00
 0.11497570E-01  0.18957263E+02  0.16837900E+00
 0.12915497E-01  0.19845413E+02  0.17944595E+00
 0.14508288E-01  0.20742376E+02  0.19133118E+00
 0.16297508E-01  0.21687621E+02  0.20410307E+00
 0.18307383E-01  0.22670541E+02  0.21782693E+00
 0.20565123E-01  0.23724241E+02  0.23256738E+00
 0.23101297E-01  0.24854891E+02  0.24838174E+00
 0.25950242E-01  0.26086217E+02  0.26532963E+00
 0.29150531E-01  0.27651748E+02  0.28337986E+00
 0.32745492E-01  0.29465228E+02  0.30243748E+00
 0.36783798E-01  0.30955948E+02  0.32266520E+00
 0.41320124E-01  0.32352039E+02  0.34435628E+00
 0.46415888E-01  0.33575418E+02  0.36775665E+00
 0.52140083E-01  0.34746467E+02  0.39311618E+00
 0.58570208E-01  0.35583338E+02  0.42078869E+00
 0.65793322E-01  0.36243130E+02  0.45122499E+00
 0.73907220E-01  0.36537292E+02  0.48496979E+00
 0.83021757E-01  0.36616876E+02  0.52269169E+00
 0.93260335E-01  0.36511480E+02  0.56508710E+00
