    E           S
 2250          6.581        A             An68a
 2500          6.123        A             An68a
 3000          5.395        A             An68a
 3500          4.841        A             An68a
 4000          4.403        A             An68a
 4500          4.047        A             An68a
 5000          3.75         A             An68a
 5500          3.499        A             An68a
 6000          3.283        A             An68a
 7000          2.93         A             An68a
 8000          2.651        A             An68a
 9000          2.426        A             An68a
 10000         2.24         A             An68a
 11000         2.083        A             An68a
 12000         1.948        A             An68a
    E           S
 318           22.07        B             Go67a
 375           20.14        B             Go67a
 430           18.71        B             Go67a
 483           17.44        B             Go67a
 536           16.45        B             Go67a
 586           15.53        B             Go67a
 641           14.85        B             Go67a
 743           13.54        B             Go67a
 846           12.53        B             Go67a
 949           11.72        B             Go67a
 1050          10.94        B             Go67a
 1151          10.37        B             Go67a
 1252          9.8          B             Go67a
 1352          9.36         B             Go67a
 1503          8.79         B             Go67a
 1703          8.06         B             Go67a
 1898          7.42         B             Go67a
 2135          7.01         B             Go67a
 2436          6.41         B             Go67a
 2736          5.89         B             Go67a
 3035          5.53         B             Go67a
 3334          5.22         B             Go67a
 3633          4.9          B             Go67a
 3932          4.65         B             Go67a
 4330          4.36         B             Go67a
 4628          4.16         B             Go67a
 4926          3.98         B             Go67a
 5219          3.82         B             Go67a
 5517          3.73         B             Go67a
 5915          3.43         B             Go67a
    E           S
 200           25.9         C             Bd56a
 300           21.3         C             Bd56a
 400           17.6         C             Bd56a
 500           15.3         C             Bd56a
 600           14.3         C             Bd56a
    E           S           ;Eppacher and Semrad (1993)
 27.1744       34.4959      D             
 30.897        35.8701      D             
 36.7131       37.0241      D             
 38.9787       37.3915      D             
 40.7472       37.7704      D             
 44.8794       37.9792      D             
 49.0433       38.1922      D             
 51.3221       38.2735      D             
 54.988        38.2235      D             
 59.9805       38.2649      D             
 64.0495       37.939       D             
 69.978        37.5485      D             
 72.5217       37.4989      D             
 75.1947       37.1815      D             
 78.1477       36.8227      D             
 82.4087       36.655       D             
 85.4212       36.4606      D             
 90.5143       35.7669      D             
 94.9845       35.527       D             
 99.8644       34.8418      D             
 100.712       33.8491      D             
 105.03        34.2392      D             
 109.859       33.9552      D             
 114.467       33.3229      D             
 116.112       33.4161      D             
 118.821       33.1345      D             
 126.557       32.1592      D             
 140.209       30.8939      D             
 141.426       31.4026      D             
 149.646       30.6788      D             
 158.11        29.6029      D             
 179.755       27.9383      D             
 188.958       27.4511      D             
 209.204       26.1231      D             
 238.452       24.0986      D             
 256.152       23.5062      D             
 259.389       22.6418      D             
 283.206       22.2732      D             
 286.133       21.971       D             
 299.717       21.5942      D             
 305.348       20.7257      D             
 320.738       20.1683      D             
 331.157       19.9         D             
 334.446       20.1548      D             
 342.319       20.1635      D             
 349.133       20.1229      D             
 352.935       19.8188      D             
 380.138       18.4043      D             
 382.006       18.8775      D             
 386.095       18.6786      D             
 394.92        18.0926      D             
 396.072       18.4897      D             
 400.05        18.4496      D             
 436.63        17.0712      D             
 449.374       16.7872      D             
 486.774       16.0154      D             
 499.621       15.6987      D             
 532.614       15.3751      D             
 549.479       14.9073      D             
 599.713       14.3258      D             
 623.295       14.1597      D             
 699.119       13.2144      D             

