Energy	SCS		Ref	error	
keV	eV cm2/10^15 atom			%	
68.30	15.52	A	Pn96	5	Paulini et al, NIMB 118, 39 (1996)
68.09	15.78	A		5	
68.44	16.03	A		5	
68.52	16.31	A		5	
67.76	16.59	A		5	
104.0	16.65	A		5	
104.7	17.32	A		5	
104.8	17.62	A		5	
105.0	18.10	A		5	
105.1	18.24	A		5	
140.1	17.81	A		5	
140.6	17.68	A		5	
140.9	17.30	A		5	
139.7	17.07	A		5	
140.6	16.66	A		5	
138.6	16.21	A		5	
187.3	16.06	A		5	
188.5	15.56	A		5	
187.6	15.44	A		5	
238.7	14.57	A		5	
236.3	14.13	A		5	
287.7	13.35	A		5	
387.2	11.25	A		5	
384.9	10.81	A		5	
271.0	15.09	B	BA14b	11.7	Barradas et al, NIMB 332, 330 (2014)
306.6	14.30	B		9	
345.4	13.52	B		7.4	
389.3	12.77	B		6.6	
438.6	12.04	B		6.3	
494.3	11.34	B		6.2	
556.9	10.67	B		6.2	
627.6	10.03	B		6.2	
707.2	9.410	B		6.2	
796.9	8.830	B		6.3	
897.9	8.270	B		6.3	
1012	7.740	B		6.3	
1140	7.220	B		6.4	
1285	6.740	B		6.4	
1448	6.270	B		6.4	
1631	5.830	B		6.5	
1838	5.410	B		6.5	
2071	5.020	B		6.6	
2333	4.650	B		6.6	
