Energy	SCS	Label	error	Ref
MeV/u	MeV cm2/mg			
0.289	1.85	A	0.03	Ra92
0.303	1.84	A	0.03	Ra92
0.342	1.78	A	0.03	Ra92
0.394	1.68	A	0.03	Ra92
0.396	1.69	A	0.03	Ra92
0.451	1.59	A	0.03	Ra92
0.483	1.52	A	0.03	Ra92
0.505	1.49	A	0.03	Ra92
0.557	1.41	A	0.03	Ra92
0.586	1.32	A	0.03	Ra92
0.609	1.35	A	0.03	Ra92
0.653	1.24	A	0.03	Ra92
0.661	1.28	A	0.03	Ra92
0.712	1.21	A	0.03	Ra92
0.715	1.18	A	0.03	Ra92
0.778	1.11	A	0.03	Ra92
0.806	1.09	A	0.03	Ra92
0.856	1.05	A	0.03	Ra92
1.22	0.824	A	0.03	Ra92
1.476	0.732	A	0.03	Ra92
2.014	0.580	A	0.03	Ra92
2.209	0.546	A	0.03	Ra92
2.383	0.536	A	0.03	Ra92
2.631	0.494	A	0.03	Ra92
