Impact Energy	Stopping cross section	label
MeV/nucleon	MeV cm\+(2)/mg	
0.06192	3.183	A
0.08087	3.656	A
0.1019	4.130	A
0.1250	4.603	A
0.1543	5.027	A
0.1774	5.428	A
0.2128	5.718	A
0.2359	6.094	A
0.2921	6.372	A
0.3359	6.650	A
0.4212	6.707	A
0.4919	6.863	A
0.5687	6.665	A
0.6580	6.662	A
0.7140	6.429	A
0.8013	6.523	A
0.8490	6.253	A
0.9092	6.275	A
0.9652	5.994	A
1.044	6.173	A
1.094	5.916	A
1.134	6.048	A
0.1397	4.844	B
0.1604	5.229	B
0.1780	5.455	B
0.1963	5.700	B
0.2169	5.953	B
0.2399	6.100	B
0.2628	6.248	B
0.2842	6.439	B
0.3056	6.411	B
0.3247	6.410	B
0.3431	6.601	B
0.3622	6.521	B
0.3805	6.590	B
0.3981	6.536	B
0.4149	6.342	B
0.4355	6.463	B
0.4546	6.400	B
0.4783	6.399	B
0.5013	6.406	B
0.5204	6.299	B
0.5525	6.314	B
