EMeV	DATA	LABEL	REF
0.474	43.94	A	Gs98
0.488	44.1	A	
0.493	45.47	A	
0.658	54.3	A	
0.694	56.58	A	
0.7	56.69	A	
0.947	66.03	A	
0.987	67.92	A	
1.007	69.18	A	
1.272	74.74	A	
1.318	75.94	A	
1.342	76.88	A	
3.267	90.37	A	
3.344	89.91	A	
3.355	91.8	A	
3.548	94.74	A	
3.556	94.07	A	
5.574	95.71	A	
5.593	93.82	A	
5.598	93.44	A	
5.842	92.03	A	
5.851	91.45	A	
6.992	97.17	A	
7.056	101.01	A	
7.057	100.61	A	
7.633	94.28	A	
7.707	95.1	A	
9.881	96.47	A	
9.931	88.75	A	
9.942	94.28	A	
