Long  Energy	SCS	        Plot name	Reference
Name
Units	MeV/n	MeV/(mg cm^(-2)		
1	0.10336	9.647460	        A	Dib et al. / Nuclear Instruments and Methods in Physics Research B 363 (2015) 24–27 
2	0.10608	10.02712		A	--
3	0.1105	10.18983		A	--
4	0.11288	10.56949		A	--
5	0.1173	10.52881		A	--
6	0.119	10.96271		A	--
7	0.12919	11.08475		A	--
8	0.12511	11.28814		A	--
9	0.13837	11.32881		A	--
10	0.13599	11.53220		A	--
11	0.13157	11.76271		A	--
12	0.14483	12.02034		A	--
13	0.14653	12.38644		A	--
14	0.14279	12.27797		A	--
15	0.15468	11.97966		A	--
16	0.15842	12.27797		A	--
17	0.16556	12.54915		A	--
18	0.16148	12.72542		A	--
19	0.16964	12.99661		A	--
20	0.17508	12.79322		A	--
21	0.18187	13.17288		A	--
22	0.17711	13.55254		A	--
23	0.18391	13.60678		A	--
24	0.18051	13.94576		A	--
25	0.19275	13.78305		A	--
26	0.19071	13.98644		A	--
27	0.20634	13.55254		A	--
28	0.19683	14.02712		A	--
29	0.20872	14.00000		A	--
30	0.20465	14.16271		A	--
31	0.20261	14.35254		A	--
32	0.21994	13.56610		A	--
33	0.21416	14.43390		A	--
34	0.21212	14.69153		A	--
35	0.21824	14.81356		A	--
36	0.22674	14.43390		A	--
37	0.23421	14.21695		A	--
38	0.2162	14.96271		A	--
39	0.22334	15.19322		A	--
40	0.23557	14.73220		A	--
41	0.23252	15.22034		A	--
42	0.23897	14.90847		A	--
43	0.24577	14.90847		A	--
44	0.24305	15.36949		A	--
45	0.2614	14.89492		A	--
46	0.26854	14.80000		A	--
47	0.26548	15.17966		A	--
48	0.25801	15.31525		A	--
49	0.26854	15.61356		A	--
50	0.27806	14.96271		A	--
51	0.28044	15.26102		A	--
52	0.28792	15.50508		A	--
53	0.27602	15.91186		A	--
54	0.27228	16.07458		A	--
55	0.28248	15.97966		A	--
56	0.29811	15.70847		A	--
57	0.30967	15.49153		A	--
58	0.28894	16.10169		A	--
59	0.29369	16.22373		A	--
60	0.29199	16.50847		A	--
61	0.29675	16.45424		A	--
62	0.30219	16.42712		A	--
63	0.30933	16.45424		A	--
64	0.31613	16.02034		A	--
65	0.32122	16.03390		A	--
66	0.32632	16.16949		A	--
67	0.33142	15.99322		A	--
68	0.32428	16.77966		A	--
69	0.31952	16.91525		A	--
70	0.33448	16.38644		A	--
71	0.34196	16.53559		A	--
72	0.34332	15.84407		A	--
73	0.33958	15.53220		A	--
74	0.35657	15.78983		A	--
75	0.36235	15.89831		A	--
76	0.37085	16.07458		A	--
77	0.37424	16.14237		A	--
78	0.36813	16.33220		A	--
79	0.35895	16.67119		A	--
80	0.35793	17.03729		A	--
81	0.34535	17.32203		A	
82	0.36371	17.63390		A	
83	0.37696	16.41356		A	
84	0.38444	16.35932		A	
85	0.38988	15.89831		A	
86	0.40449	16.06102		A	
87	0.41537	16.04746		A	
88	0.41435	16.30508		A	
89	0.39668	16.57627		A	
90	0.38274	16.86102		A	
91	0.38954	16.91525		A	
92	0.39498	16.92881		A	
93	0.39872	17.15932		A	
94	0.40653	17.01017		A	
95	0.40993	16.72542		A	
96	0.41571	17.07797		A	
97	0.42353	17.38983		A	
98	0.431	17.71525		A	
99	0.43746	17.86441		A	
100	0.43542	16.76610		A	
101	0.4429	16.75254		A	
102	0.45344	16.73898		A	
103	0.44868	16.04746		A	
104	0.45921	17.32203		A	
105	0.46907	16.37288		A	
106	0.47825	16.27797		A	
107	0.46703	17.44407		A	
108	0.48335	17.28136		A	
109	0.49354	17.15932		A	
110	0.49728	16.40000		A	
111	0.50408	17.40339		A	
