	ZrO2.		
0.02480	1.847	A	;At00.
0.03875	2.654	A	
0.05580	3.534	A	
0.07595	4.472	A	
0.09920	5.425	A	
0.1255	6.378	A	
0.1550	7.302	A	
0.1875	7.961	A	
0.2232	8.563	A	
0.2620	9.076	A	
0.3038	9.545	A	
0.3488	9.941	A	
0.3968	10.26	A	
0.4480	10.56	A	
0.5022	10.78	A	
0.5595	10.95	A	
0.6200	11.08	A	
0.2236	8.822	B	
0.2365	8.943	B	
0.2461	9.414	B	
0.2595	9.624	B	
0.2839	9.790	B	
0.2930	10.23	B	
0.3099	10.42	B	
0.3211	10.61	B	
0.3360	10.52	B	
0.3563	10.62	B	
0.3631	10.87	B	
0.3771	10.75	B	
0.3952	10.82	B	
0.4129	10.96	B	
0.4221	10.90	B	
0.4306	11.08	B	
0.4387	11.29	B	
0.4491	11.17	B	
0.4584	11.19	B	
