Energy	SCS	Label	Ref.
MeV/amu	MeV cm2/mg		
0.4915	15.62	A	Ay81a
0.6133	17.56	A	--
0.7299	19.07	A	--
0.9829	21.22	A	--
1.277	22.55	A	--
1.697	22.75	A	--
1.964	22.49	A	--
2.028	22.40	A	--
0.4566	15.69	B	Ay82
0.5927	17.19	B	--
0.5792	17.75	B	--
0.7033	18.84	B	--
0.6964	19.25	B	--
0.9454	20.92	B	--
0.9510	21.38	B	--
1.077	21.39	B	--
1.063	22.16	B	--
1.252	21.92	B	--
1.251	22.90	B	--
1.673	22.22	B	--
1.659	23.14	B	--
1.924	22.86	B	--
1.999	22.67	B	--
2.000	22.21	B	--
1.877	22.10	C	Ou95
1.845	20.90	C	--
1.764	22.10	C	--
0.1523	8.115	D	Mok66
0.1718	7.870	D	--
0.2044	9.197	D	--
0.2087	9.740	D	--
0.2606	10.72	D	--
0.2761	10.26	D	--
0.2809	11.67	D	--
0.3206	12.15	D	--
0.3368	12.85	D	--
0.3680	12.27	D	--
0.3569	13.59	D	--
0.3722	12.62	D	--
0.3884	13.55	D	--
0.4643	15.54	D	--
0.4598	14.47	D	--
0.4720	15.09	D	--
0.4839	15.29	D	--
0.5636	17.29	D	--
0.5832	17.01	D	--
0.5907	16.05	D	--
0.6824	18.65	D	--
0.6975	16.84	D	--
0.7134	17.30	D	--
0.7101	18.87	D	--
0.8208	19.80	D	--
0.8407	20.34	D	--
0.8318	17.37	D	--
0.8518	18.10	D	--
0.9671	20.99	D	--
0.9829	20.96	D	--
0.9742	18.69	D	--
1.002	18.92	D	--
1.117	21.63	D	--
1.136	18.96	D	--
1.149	21.56	D	--
1.160	19.19	D	--
1.283	21.93	D	--
1.333	18.09	D	--
1.357	19.12	D	--
0.03548	2.405	E	Kan21
0.05258	3.567	E	
0.07216	3.973	E	
0.09174	4.401	E	
0.1105	5.291	E	
0.02083	1.967	F	Kan21	
0.03467	3.196	F	
0.04533	3.352	F	
0.04838	3.554	F	
0.06210	3.969	F	
0.06943	5.430	F	
0.07589	4.716	F	
0.09353	5.797	F	
0.1177	6.432	F	
0.1419	7.470	F	
0.2473	10.82	F	
0.4361	15.19	F	
